modeliPhone 7,image6,edge
tagFood,bbox125,edge
bbox125,image6,edge
tagRoast,bbox126,edge
bbox126,image6,edge
countryUnited States of America,stateWashington,edge
stateWashington,citySeattle,edge
citySeattle,image6,edge
modeliPhone 7,image7,edge
tagPerson,bbox127,edge
bbox127,image7,edge
tagPerson,bbox128,edge
bbox128,image7,edge
tagSky,bbox129,edge
bbox129,image7,edge
tagGrass,bbox130,edge
bbox130,image7,edge
tagFace,bbox131,edge
bbox131,image7,edge
tagTree,bbox132,edge
bbox132,image7,edge
tagPlant,bbox133,edge
bbox133,image7,edge
tagAbies,bbox134,edge
bbox134,image7,edge
tagFir,bbox135,edge
bbox135,image7,edge
tagPerson,bbox136,edge
bbox136,image7,edge
tagHuman,bbox137,edge
bbox137,image7,edge
tagOutdoors,bbox138,edge
bbox138,image7,edge
tagLeisure Activities,bbox139,edge
bbox139,image7,edge
tagAdventure,bbox140,edge
bbox140,image7,edge
tagClothing,bbox141,edge
bbox141,image7,edge
tagApparel,bbox142,edge
bbox142,image7,edge
bbox129,bbox128,relationships,30,above
bbox129,bbox130,relationships,31,above
bbox130,bbox129,relationships,32,under
bbox128,bbox130,relationships,33,on
bbox128,bbox129,relationships,34,under
bbox130,bbox128,relationships,35,behind
bbox130,bbox129,relationships,36,below
bbox129,bbox130,relationships,37,over
bbox128,bbox129,relationships,38,below
bbox130,bbox128,relationships,39,under
countryUnited States of America,stateWashington,edge
stateWashington,city ofWashington,edge
city ofWashington,image7,edge
modeliPhone 5s,image8,edge
tagTree,bbox143,edge
bbox143,image8,edge
tagNature,bbox144,edge
bbox144,image8,edge
tagSlope,bbox145,edge
bbox145,image8,edge
tagOutdoors,bbox146,edge
bbox146,image8,edge
tagHuman,bbox147,edge
bbox147,image8,edge
tagPerson,bbox148,edge
bbox148,image8,edge
tagTree,bbox149,edge
bbox149,image8,edge
tagPlant,bbox150,edge
bbox150,image8,edge
tagLight,bbox151,edge
bbox151,image8,edge
tagFlare,bbox152,edge
bbox152,image8,edge
tagAbies,bbox153,edge
bbox153,image8,edge
tagFir,bbox154,edge
bbox154,image8,edge
countryUnited States of America,stateWashington,edge
stateWashington,cityScenic,edge
cityScenic,image8,edge
model,image9,edge
tagTree,bbox155,edge
bbox155,image9,edge
tagOutdoors,bbox156,edge
bbox156,image9,edge
tagNature,bbox157,edge
bbox157,image9,edge
tagWeather,bbox158,edge
bbox158,image9,edge
tagCloud,bbox159,edge
bbox159,image9,edge
tagCumulus,bbox160,edge
bbox160,image9,edge
tagSky,bbox161,edge
bbox161,image9,edge
country,state of,edge
state of,city of,edge
city of,image9,edge
modeliPhone 5s,image10,edge
tagWater,bbox162,edge
bbox162,image10,edge
tagNature,bbox163,edge
bbox163,image10,edge
tagOutdoors,bbox164,edge
bbox164,image10,edge
tagReservoir,bbox165,edge
bbox165,image10,edge
countryUnited States of America,stateWashington,edge
stateWashington,citySeattle,edge
citySeattle,image10,edge
